,Filename,xmin,ymin,xmax,ymax,label
0,../../05_Final_Data/Face_Detection_Images/Kevin_Gil_0001.jpg,71,69,180,178,1
1,../../05_Final_Data/Face_Detection_Images/Gerry_Kelly_0001.jpg,72,71,176,175,1
2,../../05_Final_Data/Face_Detection_Images/Eliane_Karp_0003.jpg,60,66,183,189,1
3,../../05_Final_Data/Face_Detection_Images/Vojislav_Kostunica_0006.jpg,66,67,183,184,1
4,../../05_Final_Data/Face_Detection_Images/Phil_Johnson_0001.jpg,64,64,186,186,1
5,../../05_Final_Data/Face_Detection_Images/Arnold_Schwarzenegger_0025.jpg,68,68,175,175,1
6,../../05_Final_Data/Face_Detection_Images/Tom_Hanks_0009.jpg,63,59,192,188,1
7,../../05_Final_Data/Face_Detection_Images/Arnold_Schwarzenegger_0031.jpg,56,61,185,190,1
8,../../05_Final_Data/Face_Detection_Images/Sean_Penn_0002.jpg,180,101,213,134,1
9,../../05_Final_Data/Face_Detection_Images/Jamie_Carey_0001.jpg,58,62,185,189,1
10,../../05_Final_Data/Face_Detection_Images/Tyler_Grillo_0001.jpg,69,67,180,178,1
11,../../05_Final_Data/Face_Detection_Images/William_Nessen_0001.jpg,69,70,182,183,1
12,../../05_Final_Data/Face_Detection_Images/Rudolph_Giuliani_0021.jpg,66,69,181,184,1
13,../../05_Final_Data/Face_Detection_Images/Scott_Sullivan_0002.jpg,68,66,181,179,1
14,../../05_Final_Data/Face_Detection_Images/Michel_Therrien_0001.jpg,63,63,185,185,1
15,../../05_Final_Data/Face_Detection_Images/Hugh_Carey_0001.jpg,69,71,177,179,1
16,../../05_Final_Data/Face_Detection_Images/Priscilla_Owen_0002.jpg,69,69,183,183,1
17,../../05_Final_Data/Face_Detection_Images/Jose_Sarney_0003.jpg,33,44,115,126,1
18,../../05_Final_Data/Face_Detection_Images/Robert_Mueller_0002.jpg,68,66,185,183,1
19,../../05_Final_Data/Face_Detection_Images/Jeremy_Wotherspoon_0001.jpg,70,68,184,182,1
20,../../05_Final_Data/Face_Detection_Images/Georgia_Giddings_0001.jpg,70,65,190,185,1
21,../../05_Final_Data/Face_Detection_Images/Helen_Clark_0002.jpg,66,67,184,185,1
