,Filename,Label
0,happy_31629.jpg,happy
1,happy_2123.jpg,happy
2,fear_29712.jpg,fear
3,neutral_neutral_33955.jpg,neutral
4,happy_17188.jpg,happy
5,angry_16292.jpg,angry
6,sad_sad_15243.jpg,sad
7,happy_15947.jpg,happy
8,neutral_neutral_16525.jpg,neutral
9,sad_sad_11025.jpg,sad
10,fear_25128.jpg,fear
11,happy_22133.jpg,happy
12,surprise_18854.jpg,surprise
13,sad_sad_6866.jpg,sad
14,neutral_neutral_286.jpg,neutral
15,neutral_neutral_7946.jpg,neutral
16,happy_33980.jpg,happy
17,neutral_neutral_6480.jpg,neutral
18,fear_15955.jpg,fear
19,sad_sad_21680.jpg,sad
20,angry_32442.jpg,angry
21,fear_7873.jpg,fear
22,neutral_neutral_26380.jpg,neutral
23,fear_14493.jpg,fear
24,happy_24224.jpg,happy
25,angry_26437.jpg,angry
26,surprise_34400.jpg,surprise
27,happy_2645.jpg,happy
28,neutral_neutral_25851.jpg,neutral
29,surprise_8208.jpg,surprise
30,angry_27729.jpg,angry
31,sad_sad_23097.jpg,sad
32,happy_27739.jpg,happy
33,happy_30245.jpg,happy
34,angry_3970.jpg,angry
35,happy_21348.jpg,happy
36,fear_26353.jpg,fear
37,surprise_4426.jpg,surprise
38,happy_6437.jpg,happy
39,surprise_26010.jpg,surprise
40,surprise_29323.jpg,surprise
41,neutral_neutral_16257.jpg,neutral
42,fear_12948.jpg,fear
43,angry_9285.jpg,angry
44,sad_sad_11031.jpg,sad
45,surprise_28983.jpg,surprise
46,sad_sad_14149.jpg,sad
47,happy_2137.jpg,happy
48,angry_20734.jpg,angry
49,happy_3229.jpg,happy
50,neutral_neutral_15038.jpg,neutral
51,angry_16286.jpg,angry
52,happy_4546.jpg,happy
53,happy_8354.jpg,happy
54,sad_sad_16776.jpg,sad
55,happy_143.jpg,happy
56,surprise_28773.jpg,surprise
57,angry_23215.jpg,angry
58,happy_6379.jpg,happy
59,sad_sad_32818.jpg,sad
60,sad_sad_14161.jpg,sad
61,surprise_22538.jpg,surprise
62,happy_21406.jpg,happy
63,surprise_9894.jpg,surprise
64,sad_sad_23915.jpg,sad
65,happy_20718.jpg,happy
66,sad_sad_3922.jpg,sad
67,angry_31611.jpg,angry
68,surprise_23626.jpg,surprise
69,surprise_6219.jpg,surprise
70,sad_sad_2382.jpg,sad
71,fear_5080.jpg,fear
72,fear_28356.jpg,fear
73,neutral_neutral_14468.jpg,neutral
74,angry_27715.jpg,angry
75,neutral_neutral_18252.jpg,neutral
76,sad_sad_10461.jpg,sad
77,neutral_neutral_8491.jpg,neutral
78,happy_23577.jpg,happy
79,surprise_20449.jpg,surprise
80,sad_sad_30969.jpg,sad
81,sad_sad_16010.jpg,sad
