Filename,xmin,ymin,xmax,ymax,label
Kevin_Gil_0001.jpg,71,69,180,178,1
Gerry_Kelly_0001.jpg,72,71,176,175,1
Eliane_Karp_0003.jpg,60,66,183,189,1
Vojislav_Kostunica_0006.jpg,66,67,183,184,1
Phil_Johnson_0001.jpg,64,64,186,186,1
Arnold_Schwarzenegger_0025.jpg,68,68,175,175,1
Tom_Hanks_0009.jpg,63,59,192,188,1
Arnold_Schwarzenegger_0031.jpg,56,61,185,190,1
Sean_Penn_0002.jpg,180,101,213,134,1
Jamie_Carey_0001.jpg,58,62,185,189,1
Tyler_Grillo_0001.jpg,69,67,180,178,1
William_Nessen_0001.jpg,69,70,182,183,1
Rudolph_Giuliani_0021.jpg,66,69,181,184,1
Scott_Sullivan_0002.jpg,68,66,181,179,1
Michel_Therrien_0001.jpg,63,63,185,185,1
Hugh_Carey_0001.jpg,69,71,177,179,1
Priscilla_Owen_0002.jpg,69,69,183,183,1
Jose_Sarney_0003.jpg,33,44,115,126,1
Robert_Mueller_0002.jpg,68,66,185,183,1
Jeremy_Wotherspoon_0001.jpg,70,68,184,182,1
Georgia_Giddings_0001.jpg,70,65,190,185,1
Helen_Clark_0002.jpg,66,67,184,185,1
Paul_Byrd_0001.jpg,68,66,183,181,1
Julie_Gerberding_0014.jpg,70,67,184,181,1
Arminio_Fraga_0005.jpg,70,67,183,180,1
Mahdi_Al_Bassam_0001.jpg,68,69,190,191,1
Rob_Schneider_0001.jpg,72,68,188,184,1
Arnold_Schwarzenegger_0019.jpg,64,69,177,182,1
John_Abizaid_0003.jpg,68,66,183,181,1
Mary_Blige_0001.jpg,60,65,182,187,1
Spencer_Abraham_0009.jpg,3,13,65,75,1
Robert_Blake_0003.jpg,62,61,187,186,1
Dick_Vermeil_0001.jpg,64,64,186,186,1
George_W_Bush_0387.jpg,66,64,182,180,1
Christian_Longo_0001.jpg,66,65,181,180,1
Rudolph_Giuliani_0009.jpg,68,64,184,180,1
Stanley_Ho_0001.jpg,65,65,182,182,1
Heather_Mills_0001.jpg,65,67,184,186,1
Sarah_Hughes_0002.jpg,68,69,184,185,1
Dennis_Kucinich_0006.jpg,64,63,185,184,1
James_Cameron_0002.jpg,56,58,192,194,1
George_W_Bush_0393.jpg,66,66,185,185,1
Gordon_Brown_0008.jpg,58,62,185,189,1
Juergen_Braehmer_0001.jpg,68,67,181,180,1
Yevgeny_Kafelnikov_0001.jpg,67,66,184,183,1
Tiger_Woods_0004.jpg,66,67,180,181,1
Michel_Duclos_0001.jpg,70,69,181,180,1
Prince_Harry_0002.jpg,67,68,184,185,1
Jim_Doyle_0001.jpg,62,64,185,187,1
Donald_Rumsfeld_0029.jpg,75,69,178,172,1
Jean_Chretien_0026.jpg,69,70,182,183,1
Osrat_Iosef_0001.jpg,67,71,175,179,1
Tom_Welch_0001.jpg,65,65,181,181,1
